DATE;Location;GEOGRAPHY_CODE;Gender;Age Group;Claimant Count;Claimant Rate (% of population);partlookup;lookup;Population;partdem;demographic_category
2016-11-01;Leicester;E06000016;Total;Aged 30-34;450;1.6364826532838752;LeicesterTotal;LeicesterTotalAged 30-34;27498;Leicester Total;Leicester Total Aged 30-34
2016-11-01;Leicester;E06000016;Total;Aged 35-39;380;1.3945977686435702;LeicesterTotal;LeicesterTotalAged 35-39;27248;Leicester Total;Leicester Total Aged 35-39
2016-11-01;Leicester;E06000016;Total;Aged 40-44;345;1.3973834501194864;LeicesterTotal;LeicesterTotalAged 40-44;24689;Leicester Total;Leicester Total Aged 40-44
2016-11-01;Leicester;E06000016;Male;Aged 50-54;220;2.0144675396026006;LeicesterMale;LeicesterMaleAged 50-54;10921;Leicester Male;Leicester Male Aged 50-54
2016-11-01;Leicester;E06000016;Female;All categories: Age 16+;1470;1.1720151484951167;LeicesterFemale;LeicesterFemaleAll categories: Age 16+;125425;Leicester Female;Leicester Female All categories: Age 16+
2016-11-01;Leicester;E06000016;Female;Aged 30-34;170;1.1934011934011934;LeicesterFemale;LeicesterFemaleAged 30-34;14245;Leicester Female;Leicester Female Aged 30-34
2016-11-01;Leicester;E06000016;Female;Aged 40-44;145;1.177139145965254;LeicesterFemale;LeicesterFemaleAged 40-44;12318;Leicester Female;Leicester Female Aged 40-44
2016-11-01;Leicester;E06000016;Female;Aged 45-49;140;1.232394366197183;LeicesterFemale;LeicesterFemaleAged 45-49;11360;Leicester Female;Leicester Female Aged 45-49
2016-11-01;Leicester;E06000016;Female;Aged 60-64;80;0.9285051067780872;LeicesterFemale;LeicesterFemaleAged 60-64;8616;Leicester Female;Leicester Female Aged 60-64
2016-11-01;England;E92000001;Total;Aged 16-24;132575;2.213555928372786;EnglandTotal;EnglandTotalAged 16-24;5989232;England Total;England Total Aged 16-24
2016-11-01;England;E92000001;Total;Aged 40-44;56590;1.580547010590419;EnglandTotal;EnglandTotalAged 40-44;3580406;England Total;England Total Aged 40-44
2016-11-01;England;E92000001;Total;Aged 45-49;62995;1.7485763931777902;EnglandTotal;EnglandTotalAged 45-49;3602645;England Total;England Total Aged 45-49
2016-11-01;England;E92000001;Male;Aged 16-24;83340;2.747682075973706;EnglandMale;EnglandMaleAged 16-24;3033102;England Male;England Male Aged 16-24
2016-11-01;England;E92000001;Male;Aged 30-34;41500;2.174795949115015;EnglandMale;EnglandMaleAged 30-34;1908225;England Male;England Male Aged 30-34
2016-11-01;England;E92000001;Male;Aged 35-39;35365;1.9200230196454215;EnglandMale;EnglandMaleAged 35-39;1841905;England Male;England Male Aged 35-39
2016-11-01;England;E92000001;Male;Aged 65+;30;0.0006301578419362482;EnglandMale;EnglandMaleAged 65+;4760712;England Male;England Male Aged 65+
2016-11-01;England;E92000001;Female;Aged 16-24;49235;1.6655221522734114;EnglandFemale;EnglandFemaleAged 16-24;2956130;England Female;England Female Aged 16-24
2016-11-01;England;E92000001;Female;Aged 40-44;22920;1.254708578604591;EnglandFemale;EnglandFemaleAged 40-44;1826719;England Female;England Female Aged 40-44
2016-11-01;England;E92000001;Female;Aged 45-49;25175;1.379040231821182;EnglandFemale;EnglandFemaleAged 45-49;1825545;England Female;England Female Aged 45-49
2016-11-01;England;E92000001;Female;Aged 55-59;20345;1.0504961005915203;EnglandFemale;EnglandFemaleAged 55-59;1936704;England Female;England Female Aged 55-59
2016-11-01;England;E92000001;Female;Aged 65+;5;8.864313073354851e-05;EnglandFemale;EnglandFemaleAged 65+;5640595;England Female;England Female Aged 65+
2016-12-01;Leicester;E06000016;Total;Aged 16-24;795;1.3334227872729407;LeicesterTotal;LeicesterTotalAged 16-24;59621;Leicester Total;Leicester Total Aged 16-24
2016-12-01;Leicester;E06000016;Total;Aged 30-34;415;1.5092006691395738;LeicesterTotal;LeicesterTotalAged 30-34;27498;Leicester Total;Leicester Total Aged 30-34
2016-12-01;Leicester;E06000016;Total;Aged 35-39;380;1.3945977686435702;LeicesterTotal;LeicesterTotalAged 35-39;27248;Leicester Total;Leicester Total Aged 35-39
2016-12-01;Leicester;E06000016;Total;Aged 50-54;335;1.5301694605581693;LeicesterTotal;LeicesterTotalAged 50-54;21893;Leicester Total;Leicester Total Aged 50-54
2016-12-01;Leicester;E06000016;Total;Aged 60-64;195;1.1290602744484974;LeicesterTotal;LeicesterTotalAged 60-64;17271;Leicester Total;Leicester Total Aged 60-64
2016-12-01;Leicester;E06000016;Total;Aged 65+;0;0.0;LeicesterTotal;LeicesterTotalAged 65+;43505;Leicester Total;Leicester Total Aged 65+
2016-12-01;Leicester;E06000016;Male;Aged 16-24;465;1.5843810692016764;LeicesterMale;LeicesterMaleAged 16-24;29349;Leicester Male;Leicester Male Aged 16-24
2016-12-01;Leicester;E06000016;Male;Aged 30-34;260;1.9618199652908774;LeicesterMale;LeicesterMaleAged 30-34;13253;Leicester Male;Leicester Male Aged 30-34
2016-12-01;Leicester;E06000016;Male;Aged 35-39;260;1.9680569222617517;LeicesterMale;LeicesterMaleAged 35-39;13211;Leicester Male;Leicester Male Aged 35-39
2016-12-01;Leicester;E06000016;Male;Aged 45-49;190;1.6996153502102156;LeicesterMale;LeicesterMaleAged 45-49;11179;Leicester Male;Leicester Male Aged 45-49
2016-12-01;Leicester;E06000016;Male;Aged 55-59;185;1.9149156402028775;LeicesterMale;LeicesterMaleAged 55-59;9661;Leicester Male;Leicester Male Aged 55-59
2016-12-01;Leicester;E06000016;Male;Aged 65+;0;0.0;LeicesterMale;LeicesterMaleAged 65+;19987;Leicester Male;Leicester Male Aged 65+
2016-12-01;Leicester;E06000016;Female;All categories: Age 16+;1395;1.1122184572453657;LeicesterFemale;LeicesterFemaleAll categories: Age 16+;125425;Leicester Female;Leicester Female All categories: Age 16+
2016-12-01;Leicester;E06000016;Female;Aged 30-34;155;1.088101088101088;LeicesterFemale;LeicesterFemaleAged 30-34;14245;Leicester Female;Leicester Female Aged 30-34
2016-12-01;Leicester;E06000016;Female;Aged 40-44;135;1.0959571358986848;LeicesterFemale;LeicesterFemaleAged 40-44;12318;Leicester Female;Leicester Female Aged 40-44
2016-12-01;England;E92000001;Total;Aged 65+;35;0.00033649617302902414;EnglandTotal;EnglandTotalAged 65+;10401307;England Total;England Total Aged 65+
2016-12-01;England;E92000001;Male;All categories: Age 16+;374865;2.138856773879479;EnglandMale;EnglandMaleAll categories: Age 16+;17526419;England Male;England Male All categories: Age 16+
2016-12-01;England;E92000001;Male;Aged 30-34;41415;2.1703415477734542;EnglandMale;EnglandMaleAged 30-34;1908225;England Male;England Male Aged 30-34
2016-12-01;England;E92000001;Male;Aged 40-44;33730;1.9233762923486348;EnglandMale;EnglandMaleAged 40-44;1753687;England Male;England Male Aged 40-44
2016-12-01;England;E92000001;Male;Aged 60-64;21290;1.3289961490947657;EnglandMale;EnglandMaleAged 60-64;1601961;England Male;England Male Aged 60-64
2016-12-01;England;E92000001;Male;Aged 65+;30;0.0006301578419362482;EnglandMale;EnglandMaleAged 65+;4760712;England Male;England Male Aged 65+
2016-12-01;England;E92000001;Female;All categories: Age 16+;226050;1.2503288992796877;EnglandFemale;EnglandFemaleAll categories: Age 16+;18079243;England Female;England Female All categories: Age 16+
2016-12-01;England;E92000001;Female;Aged 50-54;24555;1.2370968855185354;EnglandFemale;EnglandFemaleAged 50-54;1984889;England Female;England Female Aged 50-54
2017-01-01;Leicester;E06000016;Total;All categories: Age 16+;3760;1.5190568919126382;LeicesterTotal;LeicesterTotalAll categories: Age 16+;247522;Leicester Total;Leicester Total All categories: Age 16+
2017-01-01;Leicester;E06000016;Total;Aged 35-39;410;1.5046975924838522;LeicesterTotal;LeicesterTotalAged 35-39;27248;Leicester Total;Leicester Total Aged 35-39
2017-01-01;Leicester;E06000016;Total;Aged 40-44;360;1.4581392522985945;LeicesterTotal;LeicesterTotalAged 40-44;24689;Leicester Total;Leicester Total Aged 40-44
2017-01-01;Leicester;E06000016;Total;Aged 50-54;355;1.621522861188508;LeicesterTotal;LeicesterTotalAged 50-54;21893;Leicester Total;Leicester Total Aged 50-54
2017-01-01;Leicester;E06000016;Total;Aged 55-59;345;1.7715019255455715;LeicesterTotal;LeicesterTotalAged 55-59;19475;Leicester Total;Leicester Total Aged 55-59
2017-01-01;Leicester;E06000016;Male;Aged 40-44;220;1.7783525988198206;LeicesterMale;LeicesterMaleAged 40-44;12371;Leicester Male;Leicester Male Aged 40-44
2017-01-01;Leicester;E06000016;Male;Aged 45-49;215;1.923248948922086;LeicesterMale;LeicesterMaleAged 45-49;11179;Leicester Male;Leicester Male Aged 45-49
2017-01-01;Leicester;E06000016;Male;Aged 55-59;205;2.1219335472518375;LeicesterMale;LeicesterMaleAged 55-59;9661;Leicester Male;Leicester Male Aged 55-59
2017-01-01;Leicester;E06000016;Male;Aged 60-64;120;1.386481802426343;LeicesterMale;LeicesterMaleAged 60-64;8655;Leicester Male;Leicester Male Aged 60-64
2017-01-01;Leicester;E06000016;Female;Aged 16-24;310;1.0240486257928119;LeicesterFemale;LeicesterFemaleAged 16-24;30272;Leicester Female;Leicester Female Aged 16-24
2017-01-01;Leicester;E06000016;Female;Aged 35-39;135;0.961743962385125;LeicesterFemale;LeicesterFemaleAged 35-39;14037;Leicester Female;Leicester Female Aged 35-39
2017-01-01;Leicester;E06000016;Female;Aged 40-44;135;1.0959571358986848;LeicesterFemale;LeicesterFemaleAged 40-44;12318;Leicester Female;Leicester Female Aged 40-44
2017-01-01;Leicester;E06000016;Female;Aged 55-59;145;1.477481149378439;LeicesterFemale;LeicesterFemaleAged 55-59;9814;Leicester Female;Leicester Female Aged 55-59
2017-01-01;England;E92000001;Total;Aged 30-34;68610;1.7358260480166778;EnglandTotal;EnglandTotalAged 30-34;3952585;England Total;England Total Aged 30-34
2017-01-01;England;E92000001;Total;Aged 35-39;60455;1.5928534353518349;EnglandTotal;EnglandTotalAged 35-39;3795390;England Total;England Total Aged 35-39
2017-01-01;England;E92000001;Total;Aged 40-44;58510;1.6341722139891397;EnglandTotal;EnglandTotalAged 40-44;3580406;England Total;England Total Aged 40-44
2017-01-01;England;E92000001;Total;Aged 50-54;66300;1.6966267579791356;EnglandTotal;EnglandTotalAged 50-54;3907754;England Total;England Total Aged 50-54
2017-01-01;England;E92000001;Male;All categories: Age 16+;386765;2.2067542719365547;EnglandMale;EnglandMaleAll categories: Age 16+;17526419;England Male;England Male All categories: Age 16+
2017-01-01;England;E92000001;Male;Aged 16-24;78675;2.5938791375957684;EnglandMale;EnglandMaleAged 16-24;3033102;England Male;England Male Aged 16-24
2017-01-01;England;E92000001;Male;Aged 35-39;37430;2.032135207841881;EnglandMale;EnglandMaleAged 35-39;1841905;England Male;England Male Aged 35-39
2017-01-01;England;E92000001;Male;Aged 40-44;35025;1.9972207127041484;EnglandMale;EnglandMaleAged 40-44;1753687;England Male;England Male Aged 40-44
2017-01-01;England;E92000001;Male;Aged 45-49;39575;2.2269427719317987;EnglandMale;EnglandMaleAged 45-49;1777100;England Male;England Male Aged 45-49
2017-01-01;England;E92000001;Male;Aged 55-59;35025;1.8733302490018267;EnglandMale;EnglandMaleAged 55-59;1869665;England Male;England Male Aged 55-59
2017-01-01;England;E92000001;Male;Aged 60-64;22665;1.4148284508798903;EnglandMale;EnglandMaleAged 60-64;1601961;England Male;England Male Aged 60-64
2017-01-01;England;E92000001;Female;Aged 45-49;26015;1.4250538880170032;EnglandFemale;EnglandFemaleAged 45-49;1825545;England Female;England Female Aged 45-49
2017-02-01;Leicester;E06000016;Total;Aged 25-29;580;2.125476399882732;LeicesterTotal;LeicesterTotalAged 25-29;27288;Leicester Total;Leicester Total Aged 25-29
2017-02-01;Leicester;E06000016;Total;Aged 30-34;485;1.7637646374281766;LeicesterTotal;LeicesterTotalAged 30-34;27498;Leicester Total;Leicester Total Aged 30-34
2017-02-01;Leicester;E06000016;Total;Aged 40-44;385;1.5593989225971079;LeicesterTotal;LeicesterTotalAged 40-44;24689;Leicester Total;Leicester Total Aged 40-44
2017-02-01;Leicester;E06000016;Total;Aged 50-54;365;1.667199561503677;LeicesterTotal;LeicesterTotalAged 50-54;21893;Leicester Total;Leicester Total Aged 50-54
2017-02-01;Leicester;E06000016;Male;All categories: Age 16+;2520;2.0639327747610507;LeicesterMale;LeicesterMaleAll categories: Age 16+;122097;Leicester Male;Leicester Male All categories: Age 16+
2017-02-01;Leicester;E06000016;Male;Aged 16-24;515;1.7547446250298138;LeicesterMale;LeicesterMaleAged 16-24;29349;Leicester Male;Leicester Male Aged 16-24
