DATE;Location;GEOGRAPHY_CODE;Gender;Age Group;Claimant Count;Claimant Rate (% of population);partlookup;lookup;Population;partdem;demographic_category
2020-08-01;England;E92000001;Total;Aged 55-59;172385;4.528856766120152;EnglandTotal;EnglandTotalAged 55-59;3806369;England Total;England Total Aged 55-59
2020-08-01;England;E92000001;Total;Aged 60-64;132745;4.076937393696188;EnglandTotal;EnglandTotalAged 60-64;3255998;England Total;England Total Aged 60-64
2020-08-01;England;E92000001;Male;Aged 30-34;184615;9.674697690261892;EnglandMale;EnglandMaleAged 30-34;1908225;England Male;England Male Aged 30-34
2020-08-01;England;E92000001;Male;Aged 40-44;127300;7.258992055024642;EnglandMale;EnglandMaleAged 40-44;1753687;England Male;England Male Aged 40-44
2020-08-01;England;E92000001;Male;Aged 60-64;77690;4.849681109590058;EnglandMale;EnglandMaleAged 60-64;1601961;England Male;England Male Aged 60-64
2020-08-01;England;E92000001;Female;Aged 55-59;71785;3.706555054360398;EnglandFemale;EnglandFemaleAged 55-59;1936704;England Female;England Female Aged 55-59
2020-08-01;England;E92000001;Female;Aged 60-64;55055;3.3285228806852563;EnglandFemale;EnglandFemaleAged 60-64;1654037;England Female;England Female Aged 60-64
2020-09-01;Leicester;E06000016;Total;Aged 40-44;1795;7.27044432743327;LeicesterTotal;LeicesterTotalAged 40-44;24689;Leicester Total;Leicester Total Aged 40-44
2020-09-01;Leicester;E06000016;Total;Aged 45-49;1550;6.876968809618883;LeicesterTotal;LeicesterTotalAged 45-49;22539;Leicester Total;Leicester Total Aged 45-49
2020-09-01;Leicester;E06000016;Male;All categories: Age 16+;10375;8.497342277042023;LeicesterMale;LeicesterMaleAll categories: Age 16+;122097;Leicester Male;Leicester Male All categories: Age 16+
2020-09-01;Leicester;E06000016;Male;Aged 30-34;1385;10.450464045876405;LeicesterMale;LeicesterMaleAged 30-34;13253;Leicester Male;Leicester Male Aged 30-34
2020-09-01;Leicester;E06000016;Male;Aged 50-54;735;6.730152916399597;LeicesterMale;LeicesterMaleAged 50-54;10921;Leicester Male;Leicester Male Aged 50-54
