Cordon;Vehicle Type;Year;value
Inner Ring Road;Cycles;2019;3106
Inner Ring Road;All Motor Vehicles;2009;37261
Inner Ring Road;All Motor Vehicles;2013;34394
Inner Ring Road;All Motor Vehicles;2018;31522
Central Transport Zone;All Vehicles (inc. pedal cycles);2014;133910
Central Transport Zone;All Vehicles (inc. pedal cycles);2016;139498
Central Transport Zone;All Vehicles (inc. pedal cycles);2017;139273
Central Transport Zone;Peds;2009;15097
Central Transport Zone;Peds;2013;12379
Central Transport Zone;Peds;2015;19806
Central Transport Zone;Peds;2016;24199
Central Transport Zone;Peds;2018;18692
Central Transport Zone;Cycles;2009;1777
Central Transport Zone;Cycles;2010;1573
Central Transport Zone;Cycles;2012;2737
Central Transport Zone;Cycles;2017;3877
Central Transport Zone;Cycles;2019;3884
Central Transport Zone;All Motor Vehicles;2008;121663
Central Transport Zone;All Motor Vehicles;2010;117301
Central Transport Zone;All Motor Vehicles;2016;135254
Central Transport Zone;All Motor Vehicles;2018;131023
Outer Ring Road;All Vehicles (inc. pedal cycles);2008;168487
Outer Ring Road;All Vehicles (inc. pedal cycles);2011;178822
Outer Ring Road;All Vehicles (inc. pedal cycles);2013;176413
Outer Ring Road;All Vehicles (inc. pedal cycles);2016;185563
Outer Ring Road;All Vehicles (inc. pedal cycles);2018;181747
Outer Ring Road;Peds;2008;5784
Outer Ring Road;Peds;2012;6271
Outer Ring Road;Peds;2014;5557
Outer Ring Road;Peds;2017;6380
Outer Ring Road;Peds;2019;5926
Outer Ring Road;Cycles;2008;1343
Outer Ring Road;Cycles;2010;1543
Outer Ring Road;Cycles;2015;2499
Outer Ring Road;Cycles;2016;2425
Outer Ring Road;Cycles;2022;2364
Outer Ring Road;All Motor Vehicles;2008;167144
Outer Ring Road;All Motor Vehicles;2009;173708
Outer Ring Road;All Motor Vehicles;2011;176647
Outer Ring Road;All Motor Vehicles;2013;174824
Outer Ring Road;All Motor Vehicles;2022;176070
